product_name,production_date,expiry_date,price_fresh (EGP),price_before_5_months (EGP),price_before_3_months (EGP)
Bisco Wafer Bar,2/23/2024,11/19/2024,27.48,21.27,18.37
Farm Frites Straight Fries,7/26/2024,9/19/2025,70.42,59.77,44.33
Hero Fig Jam,9/2/2024,7/29/2025,78.37,58.91,49.99
Koki Chicken Nuggets,4/9/2024,3/5/2025,64.9,49.47,40.35
El Gouna Sardine,1/10/2024,11/5/2024,97.56,76.24,64.21
Happy Cow Triangle Cheese,8/13/2024,4/10/2025,21.94,18.42,15.97
Harvest Ketchup Bottle,10/15/2024,7/12/2025,82.43,67.34,60.88
Nestle Sparkling Water,9/2/2024,3/31/2025,82.55,68.28,52.95
Harvest Tomato Sauce,4/12/2024,2/6/2025,78.08,64.47,47.47
El Maleka Egyptian Rice,7/13/2024,7/8/2025,46.48,37.84,32.14
Al Doha Red Beans,8/19/2024,8/14/2025,57.84,47.35,35
El Maleka Basmati Rice,6/23/2024,2/18/2025,24.83,19.62,15.79
Juhayna Milk 1L,3/18/2024,9/9/2025,31.97,26.08,21.16
Dina Farms Cream Cheese,6/9/2024,4/5/2025,58.96,46.68,41.61
Juhayna Whipping Cream,10/11/2024,9/6/2025,63.47,48.33,45.05
Bisco Cream Biscuits,11/6/2024,11/1/2025,59.65,49.52,36.71
Beity Apple Juice,12/15/2024,5/9/2026,29.55,24.74,19.35
Hero Orange Marmalade,9/26/2024,2/18/2026,75.86,60.85,51.89
Americana Frozen Chicken Breast,12/9/2024,6/2/2026,69.76,55.53,46.75
Americana Frozen Kofta,4/2/2024,10/29/2024,74.06,59.8,48.79
Shahd Orange Blossom Honey,3/7/2024,4/1/2025,62.27,50.16,46.26
El Rashidi Chickpeas,2/20/2024,2/14/2025,29.26,23.02,18.14
Alfa Ranch Dip,10/21/2024,1/14/2026,97.36,77.01,71.62
Al Wadi Apple Vinegar,2/9/2024,3/5/2025,74.64,58.56,55.22
El Gouna Tuna in Oil,5/13/2024,11/9/2024,91.94,71.42,67.08
Domty Creamy Cheese,5/10/2024,2/4/2025,31.27,23.46,22.47
Juhayna Skimmed Milk,6/25/2024,9/18/2025,42.21,32,27.39
Bisco Misr Marie Biscuits,8/14/2024,9/8/2025,29.64,24.76,20.75
Alfa Sandwich Spread,9/6/2024,7/3/2025,63.02,51.47,44.66
Faragello Mango Juice,4/10/2024,11/6/2024,18.27,14.02,12.06
Koki Chicken Pops,5/16/2024,11/12/2024,54.69,42.38,36.32
Domty Cheddar Cheese,4/5/2024,11/1/2024,30.28,24.4,19.04
Koki Minced Chicken,9/26/2024,12/20/2025,33.53,25.65,21.35
Corona Milk Chocolate,10/25/2024,9/20/2025,85.16,68.9,53.26
Corona Hazelnut Bar,1/6/2024,1/30/2025,58.15,49.17,38.69
Corona Cocoa Powder,8/19/2024,5/16/2025,57.42,47.81,36.3
Ganna Date Molasses,2/22/2024,7/16/2025,52.16,43.64,32.6
Maggi Chicken Bouillon,4/15/2024,11/11/2024,81.54,64.61,53.99
Al Ameed Turkish Coffee,10/12/2024,4/10/2025,38.41,32.11,27.27
Dream Jelly Strawberry,10/5/2024,3/29/2026,79.85,60,52
Cook Door Hot Ketchup,5/20/2024,11/11/2025,37.76,28.97,24.63
Queen Strawberry Jam,10/11/2024,12/5/2025,34.61,27.24,22.1
Farm Fresh Free Range Eggs,2/3/2024,1/28/2025,28.25,21.63,19.45
Dina Farms Labneh,10/6/2024,5/4/2025,77.29,58.96,52.78
Senyorita Tortilla Chips,8/26/2024,3/24/2025,54.89,46.41,40.6
Farm Fresh Organic Eggs,8/19/2024,2/10/2026,97.35,74.78,72.9
Regina Lasagna Pasta,10/4/2024,3/28/2026,70.87,53.34,50.5
Maggi Vegetables Cubes,3/7/2024,8/29/2025,60.06,48.86,41.31
Queen Blackberry Jam,11/17/2024,4/11/2026,62.87,48.71,46.07
Katilo Cheddar Block,9/21/2024,5/19/2025,27.01,20.55,17.49
El Rashidi El Mizan Tahina,4/22/2024,10/19/2024,86.34,73.37,56.49
Ganna Sugar Cane Molasses,12/15/2024,11/10/2025,72.73,60.43,51.22
Halwani Turkey Slices,9/27/2024,2/19/2026,15.78,12.12,10.19
Senyorita Onion Rings,7/4/2024,8/28/2025,26,19.67,16.82
Faragello Orange Juice,4/9/2024,4/4/2025,95.39,79.4,58.97
Obourland Low Fat Cheese,12/18/2024,12/13/2025,67.12,53.33,46.64
Beity Grape Juice,10/3/2024,2/25/2026,94.85,74.65,60.09
Shahd Clover Honey,1/25/2024,7/18/2025,24.76,18.91,17.85
Americana Chicken Fillet,7/4/2024,8/28/2025,62.48,49.07,38.57
Obourland Spread Cheese,12/21/2024,1/15/2026,20.23,16.21,13.99
Dream Chocolate Custard,12/5/2024,7/3/2025,56.56,45.77,34.4
Senyorita Chips Paprika,11/21/2024,10/17/2025,86.56,70.17,64.62
El Doha Fava Beans,10/27/2024,10/22/2025,50.89,39.26,31.08
Katilo Low Salt Roumy,5/16/2024,8/9/2025,74.57,56.32,45.22
Halwani Mortadella Chicken,10/21/2024,3/15/2026,65.58,49.88,40.14
Dina Farms Yogurt Low Fat,8/27/2024,2/23/2025,47.08,36.35,30.07
Shahd Natural Honey,12/15/2024,12/10/2025,19.97,16.65,13.25
